raj2000,dej2000,objid,fuvmag,e_fuvmag,nuvmag,e_nuvmag,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,target_separation (deg)
223.820184,-2.057692,6373484274780211324,,,18.4732,0.0333,WASP-57,223.82009515063,-2.05766655984,2.4676,-27.009,-4.655,-23.29,9.23646848203135E-05
224.284187,-30.879546,6372639811197471422,,,21.4009,0.3973,TIC 88785435,224.28398099311200,-30.87991383649970,8.1908,-24.601,-26.356,-2.73,4.08122030294609E-04
225.080301,-24.454056,6371654657366819428,,,18.3801,0.0434,TOI-836,225.08082665423000,-24.45408163177,36.3525,-199.483,-27.997,-26.34,4.79185601672112E-04
225.080301,-24.454056,6370915708346303734,,,18.3801,0.0434,TOI-836,225.08082665423000,-24.45408163177,36.3525,-199.483,-27.997,-26.34,4.79185601672112E-04
225.6872,-3.031821,6371725041145481378,,,11.5724,0.0019,WASP-189,225.68694954497000,-3.03138515886,10.0997,-50.473,-23.755,-24.26,5.02503503756576E-04
225.837141,-35.230501,6371021313973159771,,,20.112,0.1719,TOI-6628,225.83720975010700,-35.230511217673900,3.2531,-30.241,-15.817,1.2,5.70796556996106E-05
226.456218,64.047184,6373624991867474207,19.9665,0.2128,13.7796,0.0076,TOI-1860,226.45793262640000,64.04720602858,21.8623,-122.145,110.572,-6.362,7.50696347774222E-04
227.531832,72.710457,6374082411253205452,,,16.9169,0.0222,TIC 257060897,227.53195723293000,72.7103462805,1.9695,13.508,-7.779,-11.17,1.16807931543056E-04
228.455201,-16.351162,6373941652290013416,,,18.9966,0.0893,K2-409,228.45501441043500,-16.3512391367925,2.3731,21.85,-13.341,-3.99,1.94952308108297E-04
229.837904,29.20709,6374117634282096323,,,18.6643,0.05,TOI-2018,229.83813785949200,29.206174273322800,35.6664,-141.017,395.497,-25.617,9.3820229668762E-04
229.991553,36.229391,6373765747611535350,,,16.6033,0.015,HAT-P-4,229.99133484049,36.22964946633,3.1071,-21.513,-24.255,-1.469,3.12687837639604E-04
230.479962,-20.231643,6380767424770215764,,,18.1021,0.0397,K2-233,230.47999294729,-20.231664145620000,14.7719,-20.031,-30.963,-10.248,3.59212656830738E-05
230.479962,-20.231643,6380767424770215764,,,18.1021,0.0397,K2-233,230.47999294729,-20.231664145620000,14.7719,-20.031,-30.963,-10.248,3.59212656830738E-05
230.479962,-20.231643,6380767424770215764,,,18.1021,0.0397,K2-233,230.47999294729,-20.231664145620000,14.7719,-20.031,-30.963,-10.248,3.59212656830738E-05
230.887429,-25.370719,6380767424770215764,21.13,0.4552,15.2727,0.0146,K2-406,230.88732583505,-25.370741636480000,11.7163,-21.334,29.429,5.17,9.5924300453514E-05
231.742139,-16.508867,6380767424770215764,,,15.5949,0.0168,HD 137496,231.74196066318,-16.50879910827,6.4217,20.854,-46.988,-2.65,1.83970581796993E-04
232.555424,-23.006807,6380767424770215764,,,18.8481,0.0847,K2-407,232.55545676625,-23.00676029237,4.5816,-42.423,5.378,-79.95,5.55988026882405E-05
232.555424,-23.006807,6374293480978516510,,,18.8481,0.0847,K2-407,232.55545676625,-23.00676029237,4.5816,-42.423,5.378,-79.95,5.55988026882405E-05
232.945855,47.056431,6374293480978516510,,,18.9366,0.0605,TOI-1411,232.94506831857700,47.05683599634060,30.8112,154.875,-298.519,13.67,6.71759385336463E-04
234.431911,48.955292,6378445312049026567,,,16.4938,0.0138,TOI-2019,234.43168354703,48.95540624757,5.044,12.449,-46.501,-22.06,1.88042051809097E-04
237.924144,52.306445,6374574999978641935,,,18.4353,0.046,TOI-2048,237.92417882996,52.30631432285,8.5916,-10.255,-1.404,-8.78,1.32401109949958E-04
239.576863,35.40637,6374574999978641935,20.954,0.3865,20.91,0.2442,GJ 3929,239.57832348166400,35.406744393545800,63.1727,-143.059,318.12,10.14,0.0012478704695885900
240.17611,83.258366,6374082425211849987,,,18.1829,0.0352,TOI-1739,240.17735113487000,83.2581949514,14.0864,-132.782,107.756,-26.39,2.24692210759182E-04
240.549407,28.169667,6378867442907612828,,,16.6921,0.0185,XO-1,240.54935930108,28.169561167070000,6.1489,-17.349,14.78,1.873,1.13880383895186E-04
241.323119,70.189947,6374645393418883099,,,17.5234,0.0432,TOI-1298,241.32336181757,70.18985024368,3.1568,-36.248,43.992,-55.47,1.27018601480358E-04
243.489199,63.533766,6374645393418883099,20.3597,0.1849,13.6432,0.0055,TOI-1751,243.48877044205,63.53427381239000,8.8091,8.602,-172.839,-46.02,5.42542236524619E-04
243.960162,10.032654,6374715731026641402,20.3771,0.1662,14.272,0.0062,WASP-38,243.95985553355000,10.032578960710000,7.3373,-31.135,-39.167,-9.797,3.10969740543208E-04
245.152051,41.048184,6374891660401181707,18.5527,0.0787,13.0202,0.0026,HAT-P-2,245.15149002655,41.04808521458,7.7811,-10.078,-29.057,-18.9554,4.34442871467664E-04
247.549563,49.895754,6374856503946381440,,,16.3211,0.0122,WASP-195,247.54966879887000,49.89572836724,2.0266,-3.892,14.546,-17.27,7.28144705884083E-05
247.623665,38.347551,6374328709374020249,19.8113,0.1429,13.4915,0.005,HD 149026,247.62341073817000,38.34730805024,13.1203,-77.963,52.682,-18.0319,3.14305900777979E-04
