obj_id,ra,dec,g_mean_psf_mag,g_mean_psf_mag_error,r_mean_psf_mag,r_mean_psf_mag_error,i_mean_psf_mag,i_mean_psf_mag_error,z_mean_psf_mag,z_mean_psf_mag_error,y_mean_psf_mag,y_mean_psf_mag_error,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,target_separation (deg)
187001979968921237,197.99664,65.8337,13.6455001831055,0.00495499977841973,12.5993003845215,0.00100000004749745,11.5370998382568,0.00839999970048666,11.1990003585815,0.00100000004749745,10.836799621582,0.00100000004749745,TOI-1266,197.99816682202000,65.83380640155,27.74,-150.557,-25.339,-41.88,6.32465337715291E-04
182761983891826319,198.38896,62.304478,,,,,,,,,15.9250001907349,0.00810199975967407,TOI-1268,198.38920352800000,62.30544600908,9.0854,-66.97,-15.352,3.79,9.74813461581049E-04
100241988440022754,198.84384,-6.4647026,,,,,,,13.7151002883911,0.0,12.1272001266479,0.00104999996256083,K2-198,198.84384059265000,-6.46489526607,8.9659,-36.672,-21.709,2.07,1.92662230687995E-04
100241988440022754,198.84384,-6.4647026,,,,,,,13.7151002883911,0.0,12.1272001266479,0.00104999996256083,K2-198,198.84384059265000,-6.46489526607,8.9659,-36.672,-21.709,2.07,1.92662230687995E-04
100241988440022754,198.84384,-6.4647026,,,,,,,13.7151002883911,0.0,12.1272001266479,0.00104999996256083,K2-198,198.84384059265000,-6.46489526607,8.9659,-36.672,-21.709,2.07,1.92662230687995E-04
100241988439871980,198.84393,-6.4652276,,,,,14.8526000976563,0.00170300004538149,,,13.3460998535156,0.00228299992159009,K2-198,198.84384059265000,-6.46489526607,8.9659,-36.672,-21.709,2.07,3.44816698487015E-04
100241988439871980,198.84393,-6.4652276,,,,,14.8526000976563,0.00170300004538149,,,13.3460998535156,0.00228299992159009,K2-198,198.84384059265000,-6.46489526607,8.9659,-36.672,-21.709,2.07,3.44816698487015E-04
100241988439871980,198.84393,-6.4652276,,,,,14.8526000976563,0.00170300004538149,,,13.3460998535156,0.00228299992159009,K2-198,198.84384059265000,-6.46489526607,8.9659,-36.672,-21.709,2.07,3.44816698487015E-04
100241988441711372,198.84416,-6.465861,,,17.5944004058838,0.00717000011354685,,,,,,,K2-198,198.84384059265000,-6.46489526607,8.9659,-36.672,-21.709,2.07,0.001017017645634530
100241988441711372,198.84416,-6.465861,,,17.5944004058838,0.00717000011354685,,,,,,,K2-198,198.84384059265000,-6.46489526607,8.9659,-36.672,-21.709,2.07,0.001017017645634530
100241988441711372,198.84416,-6.465861,,,17.5944004058838,0.00717000011354685,,,,,,,K2-198,198.84384059265000,-6.46489526607,8.9659,-36.672,-21.709,2.07,0.001017017645634530
90661990997076717,199.09966,-14.444739,14.7536001205444,0.00235099997371435,14.143500328064,7.91999977082014E-04,13.9310998916626,0.00164599996060133,13.8151998519897,0.00300900009460747,13.7419996261597,0.00238499999977648,K2-349,199.09971552601,-14.444627737330000,2.1832,-13.705,-27.325,0.0,1.25991397953078E-04
167831991958034351,199.1958,49.861343,,,14.4216003417969,0.00138200004585087,12.7624998092651,0.0,,,,,TOI-1272,199.19662609366600,49.86103863878440,7.2601,-63.241,4.75,2.55,6.13128207232355E-04
89671993329031189,199.33292,-15.274327,,,,,,,16.0417003631592,0.0936269983649254,,,TOI-778,199.33412050079000,-15.273592968630000,6.1513,-60.534,-25.918,-5.24,0.0013743239913935500
97781998315379021,199.83148,-8.509521,12.7880001068115,,12.3730001449585,,12.2340002059937,,12.1870002746582,,12.128999710083,0.00894100032746792,K2-195,199.831514202,-8.50948230012,3.1386,1.125,-12.567,-14.41,4.97998794369279E-05
97781998315379021,199.83148,-8.509521,12.7880001068115,,12.3730001449585,,12.2340002059937,,12.1870002746582,,12.128999710083,0.00894100032746792,K2-195,199.831514202,-8.50948230012,3.1386,1.125,-12.567,-14.41,4.97998794369279E-05
97781998320039494,199.83165,-8.50923,14.5424003601074,0.0014400000218302,,,14.5530004501343,0.00155499996617436,17.5142993927002,0.105837002396584,,,K2-195,199.831514202,-8.50948230012,3.1386,1.125,-12.567,-14.41,2.86017502582795E-04
97781998320039494,199.83165,-8.50923,14.5424003601074,0.0014400000218302,,,14.5530004501343,0.00155499996617436,17.5142993927002,0.105837002396584,,,K2-195,199.831514202,-8.50948230012,3.1386,1.125,-12.567,-14.41,2.86017502582795E-04
97832004567524255,200.45648,-8.471884,13.0420999526978,0.0286630000919104,12.5549001693726,0.00100000004749745,14.5656003952026,0.00167400005739182,13.5305004119873,0.00157199997920543,,,K2-196,200.45631203866000,-8.47170963061,1.7584,-14.548,-0.167,-28.27,2.41999321798325E-04
154702012832276410,201.28319,38.92149,,,,,15.1217002868652,0.00217100000008941,,,,,TOI-1807,201.2833155484,38.922484700240000,23.4804,-124.608,-27.3,-7.14,9.99931159299819E-04
171322013746412755,201.37462,52.768368,13.4376001358032,0.208414003252983,,,,,,,,,TOI-3894,201.37488991462000,52.76806639346,2.3814,-8.895,8.65,7.45,3.43201688687704E-04
92632016391602397,201.63913,-12.806667,13.5966997146606,8.92999989446253E-04,13.1850004196167,,12.8870000839233,,12.7150001525879,,12.5804996490479,0.00181799998972565,K2-191,201.63916851982000,-12.80656315607,3.5292,-6.308,-25.681,-8.8542,1.10856810304955E-04
98012016551588918,201.65503,-8.317928,,,,,14.3037996292114,0.00136400002520531,,,,,WASP-157,201.65529017158000,-8.317597572160000,2.9425,-31.629,-8.763,-21.995,4.19549388491949E-04
98012016550659604,201.65508,-8.317343,14.8458995819092,0.00164200004655868,,,14.4587001800537,0.0015379999531433,,,,,WASP-157,201.65529017158000,-8.317597572160000,2.9425,-31.629,-8.763,-21.995,3.32007943652405E-04
98012016552589247,201.65518,-8.317641,12.701000213623,,12.2950000762939,,12.1300001144409,,12.0530004501343,,11.9700002670288,1.01999998150859E-04,WASP-157,201.65529017158000,-8.317597572160000,2.9425,-31.629,-8.763,-21.995,1.15711369468221E-04
118832019629207933,201.96289,9.031198,16.7427005767822,0.00531199993565679,,,,,,,11.7551002502441,0.107601001858711,TOI-1842,201.96275831707000,9.03067657692,4.4196,-23.655,-7.627,3.83,5.37107857340719E-04
118832019631048695,201.96309,9.031864,17.7080001831055,0.0135700004175305,,,,,16.5478000640869,0.00449299998581409,17.0510005950928,0.012711999937892,TOI-1842,201.96275831707000,9.03067657692,4.4196,-23.655,-7.627,3.83,0.001231672936746280
88872020162654846,202.0162,-15.93797,12.4850997924805,0.00100000004749745,10.2555999755859,0.049881998449564,9.92520046234131,0.119521997869015,10.1909999847412,0.0346699990332127,10.0775003433228,0.223113998770714,K2-277,202.01663206430000,-15.937820429120000,8.8816,-98.828,-35.889,7.52,4.37244328417992E-04
88872020162874463,202.0163,-15.938259,,,10.2920999526978,0.0844260007143021,,,,,11.6510000228882,0.00100000004749745,K2-277,202.01663206430000,-15.937820429120000,8.8816,-98.828,-35.889,7.52,5.4464376626592E-04
88872020161925301,202.0164,-15.937511,,,,,,,12.5867004394531,0.00100000004749745,13.7783002853394,0.00192800001241267,K2-277,202.01663206430000,-15.937820429120000,8.8816,-98.828,-35.889,7.52,3.79344131086905E-04
88872020164463850,202.01643,-15.938758,12.4702997207642,0.00100000004749745,,,15.7699003219604,0.00341899995692074,,,,,K2-277,202.01663206430000,-15.937820429120000,8.8816,-98.828,-35.889,7.52,9.56671534633039E-04
102462022513478392,202.25127,-4.610082,13.4018001556396,0.490631014108658,12.3176002502441,0.0854659974575043,12.0518999099731,0.0474830009043217,11.87380027771,0.0690639987587929,13.5087003707886,0.00185300002340227,K2-200,202.25158806727,-4.6102227381,5.4443,-88.45,39.387,-15.714,3.50022489707068E-04
90762023314319089,202.33138,-14.359436,13.5712995529175,0.00100000004749745,13.2720003128052,,13.1140003204346,,13.0939998626709,0.0230320002883673,13.0032997131348,0.0019000000320375,EPIC 212424622,202.33143069922,-14.35945102176,1.6091,-12.188,3.542,0.0,5.58877145345087E-05
92712024887668647,202.48875,-12.734774,13.8997001647949,0.00529199978336692,13.4980001449585,,13.1820001602173,,12.996000289917,,12.8838996887207,0.00310200010426342,EPIC 212499991,202.48877113933000,-12.73474240639,3.5063,-4.34,-7.552,0.0,3.52979755602666E-05
93482028979526238,202.8979,-12.095113,14.5761003494263,4.90000005811453E-04,13.585599899292,0.007232999894768,13.1260995864868,0.0,12.9664001464844,0.00448899995535612,12.8358001708984,0.00252499990165234,K2-377,202.89831513602000,-12.095101770690000,5.0856,-97.23,-2.897,0.0,4.02705585220736E-04
90592033018905476,203.30186,-14.504104,13.6803998947144,0.00261999992653728,13.4370002746582,,13.2200002670288,,13.0431003570557,0.00361100002191961,12.9896001815796,0.00173400004860014,K2-278,203.30178396645,-14.504056712010000,1.2813,18.279,-11.39,0.0,9.11139302707346E-05
166872033971962890,203.3973,49.06006,15.6941995620728,0.00291500007733703,15.977499961853,0.00309800007380545,16.1268997192383,0.0,13.5329999923706,0.00100000004749745,,,TOI-1794,203.3977021254,49.06113591355,6.4392,-32.929,-67.948,-31.48,0.00111015986114548
166872033977364692,203.39746,49.061577,,,,,15.0719995498657,0.00197200011461973,,,,,TOI-1794,203.3977021254,49.06113591355,6.4392,-32.929,-67.948,-31.48,4.68396383780607E-04
91702035467038000,203.5467,-13.576974,13.4430999755859,0.00341499992646277,12.4119997024536,0.00100000004749745,12.1609001159668,0.0534459985792637,11.8094997406006,0.0226140003651381,11.6098003387451,0.00100000004749745,K2-126,203.5465421514,-13.576935847310000,9.8184,36.106,-8.037,0.5866,1.64846708285193E-04
86992037585324863,203.75854,-17.504658,17.3486995697021,0.0,,,16.8323001861572,0.0372000001370907,16.2886009216309,0.0338740013539791,15.9364995956421,0.0267799999564886,WASP-55,203.75814077726000,-17.50347989552,3.4194,12.037,-3.747,-4.0927,0.0012393091854685600
91182040355899313,204.0355,-14.009251,13.7161998748779,0.00167599995620549,13.4420003890991,,13.2510004043579,,13.1394996643066,7.259999983944E-04,13.0805997848511,0.00164799997583032,K2-350,204.03559229187,-14.00922693408,2.0594,-18.72,-5.727,-21.681,8.58951647729567E-05
91182040355899313,204.0355,-14.009251,13.7161998748779,0.00167599995620549,13.4420003890991,,13.2510004043579,,13.1394996643066,7.259999983944E-04,13.0805997848511,0.00164799997583032,K2-350,204.03559229187,-14.00922693408,2.0594,-18.72,-5.727,-21.681,8.58951647729567E-05
90062041419313028,204.14189,-14.9478035,16.7166996002197,0.00411499990150332,15.4725999832153,8.82000022102147E-04,14.4846000671387,0.00294700008817017,14.0303001403809,0.00117099995259196,13.8083000183105,0.00338799995370209,K2-125,204.14211025454000,-14.947604447600000,7.8611,-52.705,-49.953,-19.0,2.9034279357712E-04
